order_id,customer_id,customer_age,order_amount,order_date,payment_mode,city,delivery_days,is_delivered
,,25,₹999,invalid,UPI,Delhi,1,False
,user_142,-3,,15/02/2023,,Bangalore,5,
,user_143,25,3500.75,2023-01-15,Debit Card,Hyderabad,-1,
,user_144,25,₹999,,upi,DELHI,5,
,,25,3500.75,2023/03/10,Cash,Mumbai,1,True
,CUST146,18,,,UPI,DELHI,5,yes
ORD1147,user_147,50,,invalid,Credit Card,Hyderabad,7,
ORD1148,,-3,1200,15/02/2023,CARD,DELHI,2,
ORD1149,CUST149,18,499.99,,Credit Card,DELHI,7,
,,-3,N/A,invalid,Credit Card,Bangalore,three,no
,,NA,N/A,15/02/2023,Cash,,2,yes
,CUST152,25,3500.75,2023-01-15,Cash,Bangalore,7,yes
,,25,1200,invalid,CARD,Delhi,three,
ORD1154,,50,N/A,invalid,UPI,Delhi,,no
,CUST155,NA,499.99,2023-01-15,upi,Delhi,-1,yes
,CUST156,18,₹999,,Credit Card,DELHI,three,
,CUST157,35,1200,2023/03/10,Cash,Mumbai,-1,yes
,,35,499.99,2023-01-15,UPI,mumbai,three,no
,,25,N/A,2023-01-15,Credit Card,,5,yes
,,35,250.5,2023/03/10,UPI,,2,no
ORD1161,,35,250.5,2023/03/10,UPI,Bangalore,2,
,user_162,25,1200,invalid,Cash,Delhi,-1,no
,CUST163,25,250.5,15/02/2023,Debit Card,mumbai,1,yes
,,35,3500.75,2023-01-15,CARD,Mumbai,1,no
ORD1165,,50,250.5,2023/03/10,Cash,DELHI,2,True
,,25,,2023-01-15,Credit Card,Delhi,1,
ORD1167,CUST167,35,3500.75,invalid,Cash,Hyderabad,5,False
,,50,3500.75,2023-01-15,,,three,True
ORD1169,,,499.99,2023/03/10,UPI,mumbai,,
,,NA,1200,2023-01-15,Cash,DELHI,-1,True
ORD1171,CUST171,NA,250.5,invalid,Cash,,three,no
ORD1172,user_172,65,₹999,invalid,,Bangalore,,False
ORD1173,user_173,-3,N/A,2023-01-15,upi,,2,no
,,NA,499.99,15/02/2023,Debit Card,Bangalore,7,no
,CUST175,120,N/A,2023-01-15,Credit Card,Bangalore,1,False
,user_176,18,,2023/03/10,Credit Card,Bangalore,5,False
,,50,499.99,2023-01-15,CARD,Delhi,,True
ORD1178,CUST178,120,₹999,15/02/2023,upi,,7,
ORD1179,,50,499.99,2023/03/10,Credit Card,Delhi,1,False
,CUST180,50,₹999,2023-01-15,upi,Delhi,,False
,CUST181,-3,499.99,15/02/2023,,mumbai,-1,yes
ORD1182,,NA,3500.75,15/02/2023,Debit Card,Bangalore,three,
,user_183,120,250.5,2023/03/10,upi,Delhi,5,False
,CUST184,65,499.99,15/02/2023,Debit Card,Hyderabad,three,False
ORD1185,,50,,2023-01-15,Cash,Delhi,7,no
,CUST186,25,250.5,2023-01-15,Credit Card,DELHI,,True
,,50,499.99,2023/03/10,UPI,Delhi,,
ORD1188,user_188,18,1200,2023/03/10,CARD,Delhi,2,
,,NA,1200,invalid,CARD,Delhi,2,True
ORD1190,CUST190,120,1200,invalid,Debit Card,Hyderabad,three,no
,,18,250.5,2023/03/10,upi,Delhi,1,True
,,120,3500.75,2023/03/10,Cash,mumbai,5,False
,user_193,,3500.75,invalid,Cash,Hyderabad,2,yes
,CUST194,-3,250.5,15/02/2023,CARD,Delhi,2,False
ORD1195,,,250.5,invalid,Cash,Delhi,,yes
,,18,499.99,2023/03/10,UPI,Hyderabad,three,False
,CUST197,35,499.99,,UPI,,,True
,,25,499.99,2023/03/10,UPI,Bangalore,7,yes
,,,₹999,invalid,,Delhi,2,
,CUST200,18,250.5,,Cash,Bangalore,,True
ORD1201,,25,,invalid,,Bangalore,three,True
ORD1202,CUST202,65,,invalid,Credit Card,Hyderabad,5,True
,CUST203,,499.99,invalid,upi,Hyderabad,,no
,CUST204,35,1200,2023-01-15,,mumbai,three,no
,user_205,65,1200,15/02/2023,UPI,Bangalore,,
,,35,3500.75,,CARD,Bangalore,1,no
,,-3,1200,15/02/2023,Credit Card,Hyderabad,,
,CUST208,50,250.5,2023/03/10,upi,Hyderabad,,
,,,250.5,,Credit Card,Delhi,5,False
,,,499.99,invalid,Cash,,2,True
,user_211,35,499.99,,upi,,1,yes
,,25,N/A,15/02/2023,UPI,Hyderabad,three,no
,,,N/A,15/02/2023,upi,Bangalore,-1,True
,,50,3500.75,2023/03/10,Debit Card,Delhi,2,no
,,NA,499.99,,Cash,,1,no
ORD1216,user_216,NA,250.5,2023/03/10,upi,Mumbai,1,
ORD1217,,35,N/A,15/02/2023,Debit Card,Delhi,-1,
ORD1218,,65,,2023-01-15,UPI,Mumbai,5,False
,CUST219,50,499.99,2023/03/10,CARD,,7,yes
,CUST220,65,N/A,2023/03/10,upi,Bangalore,7,True
ORD1221,,50,₹999,,UPI,,-1,yes
ORD1222,,18,1200,2023/03/10,Credit Card,Hyderabad,,True
ORD1223,,-3,N/A,2023/03/10,UPI,Bangalore,,False
,,120,N/A,15/02/2023,Debit Card,,5,yes
ORD1225,CUST225,,₹999,2023/03/10,upi,Hyderabad,7,True
,user_226,50,₹999,2023/03/10,upi,Mumbai,,False
,CUST227,,N/A,2023-01-15,upi,mumbai,1,
,user_228,-3,3500.75,2023-01-15,,Mumbai,three,
ORD1229,CUST229,-3,250.5,2023/03/10,Credit Card,Delhi,2,yes
ORD1230,CUST230,-3,,2023/03/10,UPI,DELHI,7,
,,-3,250.5,invalid,UPI,Bangalore,three,yes
,CUST232,65,499.99,,CARD,Bangalore,2,False
,,120,₹999,2023-01-15,,Bangalore,5,yes
ORD1234,CUST234,18,₹999,,Cash,Mumbai,2,True
ORD1235,,-3,N/A,,CARD,Delhi,2,False
ORD1236,,,499.99,invalid,UPI,Delhi,three,yes
ORD1237,CUST237,25,499.99,15/02/2023,UPI,Bangalore,2,True
ORD1238,user_238,,,2023-01-15,CARD,DELHI,-1,False
,CUST239,18,3500.75,2023/03/10,Credit Card,DELHI,,True
,user_240,35,250.5,invalid,Credit Card,mumbai,7,no
,,NA,499.99,2023/03/10,UPI,mumbai,7,no
,,25,3500.75,,,DELHI,,True
,,50,3500.75,invalid,Credit Card,Hyderabad,1,False
ORD1244,,25,₹999,15/02/2023,Debit Card,Mumbai,three,True
,,25,499.99,,Cash,,1,no
ORD1246,,NA,1200,2023-01-15,Credit Card,mumbai,1,True
,CUST247,NA,N/A,,CARD,,1,no
,user_248,25,499.99,,Credit Card,Hyderabad,2,yes
ORD1249,,65,₹999,,Cash,Mumbai,7,yes
ORD1250,,,1200,2023/03/10,CARD,Bangalore,7,no
,user_251,NA,,,UPI,Mumbai,three,no
ORD1252,,18,499.99,15/02/2023,upi,Mumbai,2,no
ORD1253,user_253,35,N/A,invalid,upi,Delhi,7,False
ORD1254,user_254,25,1200,invalid,CARD,Delhi,,False
ORD1255,user_255,-3,N/A,2023/03/10,Cash,Delhi,7,no
ORD1256,,18,3500.75,2023-01-15,CARD,mumbai,three,yes
,,50,250.5,2023-01-15,Debit Card,mumbai,7,yes
,,,3500.75,,UPI,,1,no
ORD1259,user_259,120,3500.75,2023/03/10,CARD,Bangalore,,no
,CUST260,50,N/A,2023-01-15,Debit Card,DELHI,1,False
ORD1261,user_261,NA,,15/02/2023,upi,,2,False
,CUST262,-3,₹999,2023/03/10,UPI,,1,yes
ORD1263,,18,₹999,2023/03/10,Debit Card,Bangalore,,False
,,50,499.99,invalid,,Hyderabad,2,False
ORD1265,CUST265,-3,N/A,2023/03/10,UPI,mumbai,7,yes
ORD1266,,,1200,2023/03/10,upi,Mumbai,-1,
ORD1267,CUST267,,3500.75,,Debit Card,DELHI,1,yes
,user_268,35,,2023/03/10,UPI,Bangalore,2,
,user_269,65,250.5,,CARD,Delhi,5,no
,,35,₹999,2023-01-15,CARD,Delhi,-1,False
ORD1271,CUST271,50,N/A,15/02/2023,,mumbai,,False
,user_272,65,,2023-01-15,UPI,,-1,
ORD1273,user_273,NA,3500.75,2023/03/10,Cash,Mumbai,-1,no
,,-3,499.99,15/02/2023,UPI,Bangalore,7,False
,,-3,N/A,invalid,Cash,Hyderabad,three,True
,,,3500.75,invalid,upi,Delhi,2,no
,,65,₹999,15/02/2023,,mumbai,three,
ORD1278,user_278,,1200,15/02/2023,Credit Card,DELHI,-1,no
,,50,1200,,Cash,mumbai,three,
,CUST280,-3,,15/02/2023,CARD,,5,yes
ORD1281,,120,3500.75,,Debit Card,Mumbai,three,False
,CUST282,65,499.99,2023-01-15,Cash,DELHI,three,True
,,65,,2023/03/10,UPI,Mumbai,7,True
,,-3,3500.75,,,DELHI,1,yes
,CUST285,35,3500.75,2023-01-15,CARD,mumbai,2,True
,user_286,-3,3500.75,15/02/2023,UPI,Mumbai,2,no
ORD1287,,50,3500.75,invalid,CARD,DELHI,7,
,CUST288,120,250.5,15/02/2023,Credit Card,Delhi,-1,
ORD1289,,-3,499.99,invalid,Credit Card,Bangalore,-1,yes
,CUST290,65,1200,15/02/2023,CARD,Hyderabad,-1,yes
,,65,N/A,,,DELHI,7,
,user_292,120,₹999,,UPI,Bangalore,7,True
ORD1293,CUST293,18,250.5,15/02/2023,upi,DELHI,7,False
,user_294,18,₹999,,Cash,Bangalore,,
,CUST295,50,499.99,invalid,UPI,mumbai,5,
ORD1296,CUST296,65,3500.75,invalid,Credit Card,,,no
ORD1297,user_297,,1200,2023/03/10,CARD,Hyderabad,7,no
,,-3,,2023/03/10,Credit Card,Delhi,three,no
,,NA,499.99,2023/03/10,CARD,DELHI,,yes
ORD1300,CUST300,,250.5,2023/03/10,CARD,Bangalore,2,yes
ORD1301,,18,,15/02/2023,CARD,Hyderabad,three,
,,25,₹999,2023-01-15,upi,Hyderabad,three,
ORD1303,user_303,35,250.5,2023-01-15,Cash,Hyderabad,-1,False
,,NA,250.5,2023/03/10,Debit Card,DELHI,-1,True
,user_305,120,,2023-01-15,upi,,three,True
ORD1306,CUST306,,499.99,2023-01-15,Credit Card,mumbai,7,yes
,CUST307,35,250.5,2023/03/10,,DELHI,1,False
,,NA,N/A,,Cash,,,False
,user_309,-3,,2023/03/10,UPI,Bangalore,1,False
,,-3,250.5,2023-01-15,upi,Hyderabad,1,True
,user_311,NA,3500.75,2023/03/10,CARD,,5,no
,CUST312,25,1200,,Debit Card,Mumbai,-1,True
,user_313,50,3500.75,,CARD,Hyderabad,three,True
,,NA,499.99,2023/03/10,CARD,Bangalore,-1,yes
ORD1315,,65,499.99,2023/03/10,Credit Card,DELHI,three,no
ORD1316,CUST316,,250.5,invalid,Debit Card,Delhi,three,False
,,25,499.99,invalid,upi,,5,True
ORD1318,user_318,120,3500.75,,Credit Card,,2,False
,,120,,invalid,,Hyderabad,7,False
ORD1320,user_320,NA,250.5,2023/03/10,UPI,Bangalore,2,yes
,CUST321,25,₹999,invalid,CARD,,2,yes
,,25,N/A,2023/03/10,upi,Mumbai,-1,False
,user_323,NA,499.99,invalid,UPI,mumbai,2,no
ORD1324,user_324,-3,N/A,invalid,CARD,mumbai,2,
ORD1325,CUST325,18,,invalid,Debit Card,Bangalore,2,
,CUST326,120,₹999,,Cash,,5,
,,50,N/A,2023-01-15,Debit Card,DELHI,2,False
,CUST328,35,,,Debit Card,,5,yes
ORD1329,,18,₹999,invalid,CARD,Delhi,5,no
,CUST330,50,₹999,,CARD,Hyderabad,,True
ORD1331,user_331,35,N/A,2023/03/10,CARD,Hyderabad,three,no
ORD1332,,120,₹999,2023-01-15,,DELHI,three,True
,,NA,499.99,2023/03/10,Debit Card,Bangalore,7,no
,user_334,50,499.99,2023-01-15,upi,Delhi,-1,no
,,,250.5,,CARD,Mumbai,7,no
ORD1336,CUST336,35,499.99,2023/03/10,CARD,DELHI,three,False
ORD1337,,120,N/A,2023-01-15,CARD,,2,
,,18,499.99,invalid,UPI,mumbai,7,no
,,,250.5,invalid,,Mumbai,1,
ORD1340,user_340,25,₹999,2023/03/10,,mumbai,,True
ORD1341,,35,3500.75,2023/03/10,Debit Card,,1,True
ORD1342,,65,,2023-01-15,Credit Card,Hyderabad,1,no
ORD1343,,120,,,CARD,mumbai,three,True
,,,1200,2023/03/10,Credit Card,Hyderabad,7,True
,,25,1200,2023/03/10,UPI,Delhi,1,True
,,,N/A,2023/03/10,Cash,mumbai,2,False
,CUST347,18,250.5,,Cash,DELHI,2,no
,user_348,18,1200,invalid,Credit Card,DELHI,2,no
,,35,₹999,,CARD,Delhi,-1,yes
,user_350,25,3500.75,15/02/2023,,,5,no
ORD1351,,65,N/A,2023/03/10,UPI,Mumbai,7,no
,user_352,35,₹999,2023-01-15,Cash,mumbai,7,yes
,,,1200,15/02/2023,UPI,Mumbai,three,yes
ORD1354,,25,,invalid,Cash,,1,False
ORD1355,CUST355,50,250.5,2023/03/10,upi,mumbai,,no
ORD1356,user_356,35,1200,2023/03/10,,Bangalore,1,
,,50,,invalid,upi,DELHI,2,False
,,NA,3500.75,,CARD,DELHI,1,yes
,CUST359,50,499.99,invalid,Cash,Hyderabad,-1,
ORD1360,CUST360,120,,2023-01-15,CARD,Mumbai,5,no
ORD1361,CUST361,,250.5,2023/03/10,Cash,DELHI,2,
,CUST362,35,,2023/03/10,Debit Card,DELHI,7,
,,50,3500.75,2023/03/10,CARD,Bangalore,three,False
,,18,N/A,2023-01-15,upi,Mumbai,,
,user_365,NA,N/A,2023-01-15,upi,Delhi,7,True
,user_366,35,₹999,invalid,CARD,DELHI,-1,yes
,,25,,2023-01-15,UPI,mumbai,,False
ORD1368,CUST368,18,3500.75,15/02/2023,CARD,mumbai,three,no
,CUST369,120,250.5,,upi,DELHI,2,yes
ORD1370,,NA,1200,2023/03/10,Debit Card,Hyderabad,5,yes
ORD1371,user_371,-3,N/A,2023/03/10,Credit Card,,7,False
ORD1372,,35,1200,15/02/2023,Credit Card,mumbai,-1,no
,,35,,invalid,UPI,Delhi,,
,,120,250.5,2023-01-15,Cash,Bangalore,2,no
,,35,,15/02/2023,UPI,Delhi,5,yes
,CUST376,25,499.99,15/02/2023,upi,Mumbai,1,yes
,user_377,-3,499.99,15/02/2023,UPI,,7,yes
ORD1378,CUST378,65,250.5,invalid,,DELHI,-1,False
,user_379,-3,1200,2023/03/10,,mumbai,,True
ORD1380,,120,499.99,invalid,Cash,Bangalore,7,yes
ORD1381,,,1200,invalid,upi,Mumbai,5,True
ORD1382,user_382,35,499.99,invalid,Credit Card,DELHI,,True
,CUST383,120,499.99,2023/03/10,,Mumbai,7,False
ORD1384,,35,N/A,15/02/2023,upi,Delhi,1,yes
,,,499.99,2023-01-15,UPI,,7,
,,50,3500.75,15/02/2023,Cash,,1,yes
,,120,250.5,,Cash,mumbai,three,no
,,-3,₹999,2023-01-15,Debit Card,DELHI,5,
,,120,N/A,15/02/2023,UPI,DELHI,,
ORD1390,CUST390,,250.5,invalid,Debit Card,Mumbai,5,
,CUST391,65,250.5,2023/03/10,,Bangalore,2,True
,user_392,50,₹999,,Cash,mumbai,7,no
ORD1393,,,250.5,15/02/2023,,Hyderabad,1,True
,user_394,NA,1200,15/02/2023,Cash,Hyderabad,2,True
,,120,499.99,2023-01-15,UPI,mumbai,,False
ORD1396,,18,₹999,,Credit Card,DELHI,7,no
ORD1397,CUST397,-3,,2023/03/10,Credit Card,DELHI,,
ORD1398,user_398,120,499.99,invalid,CARD,Hyderabad,7,True
ORD1399,,35,499.99,,Debit Card,Bangalore,5,no
,,65,N/A,2023/03/10,,DELHI,-1,
ORD1401,CUST401,35,1200,2023/03/10,CARD,Delhi,,yes
,,,499.99,2023-01-15,Debit Card,DELHI,7,no
,user_403,65,,2023/03/10,upi,,-1,False
ORD1404,,50,250.5,2023/03/10,,Bangalore,three,no
ORD1405,CUST405,35,,2023/03/10,Credit Card,Mumbai,-1,True
,,25,3500.75,2023-01-15,Debit Card,Delhi,7,
,,65,1200,2023-01-15,CARD,DELHI,-1,True
,,120,,,Credit Card,DELHI,5,no
ORD1409,CUST409,,,15/02/2023,Debit Card,Hyderabad,three,True
,,65,250.5,2023/03/10,Cash,Delhi,three,no
ORD1411,CUST411,,,,Cash,Delhi,1,
,user_412,65,499.99,15/02/2023,Debit Card,mumbai,2,False
ORD1413,,,3500.75,2023-01-15,upi,,three,True
,CUST414,65,,,Credit Card,mumbai,2,True
,user_415,35,₹999,,Cash,,,yes
,,NA,₹999,2023/03/10,CARD,Bangalore,7,True
,,35,N/A,2023/03/10,Debit Card,mumbai,5,yes
ORD1418,CUST418,,1200,invalid,UPI,Delhi,2,
,,35,250.5,15/02/2023,Credit Card,,three,False
,,,250.5,2023/03/10,CARD,Delhi,,False
,user_421,35,1200,15/02/2023,Cash,Hyderabad,7,
,,18,3500.75,,Cash,,,False
ORD1423,,NA,499.99,2023/03/10,,Hyderabad,2,True
,,18,499.99,15/02/2023,Debit Card,Mumbai,,no
,,NA,250.5,2023/03/10,Cash,Hyderabad,-1,True
,CUST426,25,3500.75,,CARD,Delhi,1,True
,CUST427,120,250.5,15/02/2023,Cash,Mumbai,7,False
,user_428,25,250.5,invalid,Debit Card,Hyderabad,5,True
,user_429,35,₹999,2023-01-15,CARD,,-1,
,CUST430,NA,,2023-01-15,Cash,Mumbai,,False
ORD1431,,25,3500.75,invalid,,Mumbai,2,
,,50,₹999,2023-01-15,CARD,Mumbai,three,True
,,,499.99,,Cash,DELHI,-1,False
ORD1434,,65,,15/02/2023,Cash,Delhi,three,yes
,CUST435,25,250.5,2023/03/10,CARD,Bangalore,three,
,user_436,18,3500.75,2023/03/10,,Hyderabad,5,yes
,user_437,65,₹999,invalid,Debit Card,Hyderabad,7,no
,CUST438,50,,invalid,Credit Card,Delhi,-1,True
,,120,₹999,2023/03/10,UPI,Delhi,1,False
,,,₹999,2023-01-15,Debit Card,Mumbai,2,no
ORD1441,user_441,50,499.99,invalid,CARD,Hyderabad,,False
,,18,,15/02/2023,,Hyderabad,1,False
,,25,,,Debit Card,Mumbai,three,yes
,,65,₹999,2023-01-15,Debit Card,Bangalore,three,False
ORD1445,,35,₹999,2023-01-15,UPI,Bangalore,7,no
,CUST446,,499.99,2023/03/10,Debit Card,Delhi,1,False
ORD1447,,65,499.99,invalid,UPI,Delhi,-1,
ORD1448,CUST448,50,,invalid,upi,Bangalore,7,True
,CUST449,25,₹999,,Debit Card,,2,False
,,,1200,invalid,upi,Hyderabad,-1,yes
,user_451,25,N/A,,Debit Card,DELHI,1,False
,user_452,-3,N/A,,UPI,Delhi,,True
,,,3500.75,2023-01-15,Credit Card,Mumbai,three,no
ORD1454,,NA,250.5,2023-01-15,upi,Delhi,2,False
,,18,250.5,invalid,,DELHI,2,True
,CUST456,65,3500.75,2023-01-15,Credit Card,DELHI,7,False
,user_457,-3,,,upi,Mumbai,1,
ORD1458,CUST458,-3,499.99,2023/03/10,UPI,Hyderabad,-1,False
,,-3,₹999,15/02/2023,,Bangalore,-1,False
,,NA,3500.75,invalid,UPI,Mumbai,-1,
ORD1461,CUST461,120,N/A,invalid,,Bangalore,5,
,user_462,50,1200,invalid,UPI,Hyderabad,-1,True
ORD1463,,65,N/A,2023-01-15,Credit Card,Mumbai,1,False
,CUST464,65,₹999,2023/03/10,Cash,Delhi,7,True
ORD1465,user_465,18,,2023/03/10,Credit Card,Mumbai,1,True
,,,N/A,,CARD,Bangalore,,yes
,,-3,,2023/03/10,Cash,Hyderabad,1,False
ORD1468,,NA,3500.75,,Debit Card,Hyderabad,1,no
,,,1200,invalid,,Bangalore,-1,yes
ORD1470,CUST470,NA,N/A,15/02/2023,Cash,,,False
ORD1471,,35,,2023/03/10,UPI,Bangalore,,False
,,-3,N/A,invalid,,Hyderabad,7,no
